Stimuli,Responses,Accuracy,Confidence,nTrial,Subject
1,0,0,6,1,3
1,1,1,2,2,3
0,0,1,4,3,3
1,1,1,6,4,3
1,1,1,5,5,3
1,0,0,4,6,3
1,0,0,4,7,3
1,1,1,5,8,3
1,1,1,4,9,3
0,1,0,5,10,3
0,1,0,5,11,3
1,1,1,4,12,3
0,1,0,2,13,3
0,0,1,5,14,3
1,1,1,4,15,3
0,0,1,6,16,3
0,0,1,3,17,3
1,0,0,2,18,3
1,1,1,5,19,3
1,0,0,3,20,3
0,1,0,5,21,3
1,1,1,3,22,3
0,1,0,5,23,3
1,0,0,4,24,3
0,1,0,5,25,3
0,1,0,6,26,3
1,1,1,5,27,3
1,1,1,6,28,3
0,0,1,6,29,3
1,1,1,5,30,3
0,1,0,3,1,6
0,0,1,6,2,6
1,1,1,6,3,6
0,0,1,6,4,6
1,1,1,6,5,6
1,0,0,6,6,6
0,1,0,6,7,6
0,0,1,7,8,6
1,1,1,5,9,6
0,1,0,3,10,6
0,1,0,4,11,6
1,0,0,5,12,6
0,0,1,6,13,6
0,0,1,4,14,6
1,0,0,4,15,6
0,0,1,6,16,6
0,1,0,5,17,6
1,1,1,6,18,6
0,0,1,6,19,6
0,1,0,4,20,6
1,0,0,5,21,6
1,1,1,3,22,6
0,0,1,5,23,6
1,1,1,3,24,6
0,1,0,5,25,6
1,0,0,4,26,6
0,1,0,3,27,6
1,0,0,5,28,6
1,1,1,3,29,6
0,0,1,6,30,6
1,1,1,5,1,7
1,1,1,7,2,7
1,0,0,6,3,7
1,0,0,5,4,7
1,1,1,3,5,7
0,1,0,3,6,7
1,1,1,4,7,7
0,1,0,4,8,7
0,0,1,4,9,7
1,1,1,5,10,7
1,1,1,6,11,7
1,0,0,5,12,7
1,0,0,5,13,7
0,1,0,6,14,7
1,1,1,5,15,7
1,0,0,5,16,7
0,0,1,4,17,7
0,1,0,5,18,7
1,0,0,4,19,7
0,1,0,4,20,7
0,0,1,4,21,7
1,1,1,4,22,7
0,1,0,4,23,7
1,0,0,3,24,7
1,1,1,5,25,7
1,0,0,4,26,7
1,1,1,4,27,7
1,1,1,4,28,7
0,1,0,4,29,7
1,0,0,6,30,7
0,1,0,3,1,8
1,0,0,3,2,8
1,1,1,4,3,8
0,1,0,4,4,8
0,1,0,5,5,8
1,0,0,5,6,8
1,0,0,3,7,8
1,1,1,5,8,8
1,0,0,4,9,8
0,0,1,4,10,8
0,1,0,6,11,8
1,1,1,4,12,8
0,0,1,4,13,8
0,1,0,5,14,8
1,1,1,5,15,8
1,1,1,6,16,8
1,1,1,3,17,8
1,1,1,5,18,8
1,0,0,4,19,8
1,0,0,3,20,8
1,1,1,4,21,8
1,0,0,4,22,8
0,1,0,5,23,8
1,0,0,5,24,8
1,1,1,6,25,8
0,0,1,6,26,8
1,1,1,5,27,8
1,1,1,6,28,8
1,0,0,4,29,8
1,0,0,6,30,8
0,1,0,5,1,9
0,0,1,4,2,9
1,1,1,3,3,9
0,1,0,4,4,9
1,0,0,6,5,9
0,0,1,5,6,9
1,1,1,5,7,9
0,0,1,6,8,9
1,0,0,3,9,9
0,0,1,6,10,9
1,1,1,4,11,9
0,0,1,4,12,9
1,0,0,3,13,9
1,1,1,3,14,9
0,0,1,2,15,9
1,1,1,5,16,9
1,0,0,4,17,9
0,1,0,3,18,9
1,1,1,5,19,9
1,0,0,5,20,9
1,1,1,3,21,9
1,0,0,3,22,9
0,1,0,5,23,9
1,0,0,5,24,9
0,0,1,4,25,9
0,0,1,2,26,9
1,0,0,4,27,9
0,1,0,3,28,9
0,0,1,3,29,9
1,1,1,4,30,9
0,0,1,3,1,10
1,0,0,5,2,10
0,1,0,4,3,10
1,0,0,3,4,10
1,0,0,3,5,10
0,0,1,3,6,10
0,1,0,4,7,10
1,0,0,3,8,10
1,0,0,5,9,10
1,0,0,3,10,10
1,1,1,4,11,10
0,0,1,3,12,10
1,1,1,5,13,10
1,1,1,5,14,10
1,0,0,2,15,10
0,1,0,6,16,10
1,0,0,3,17,10
1,0,0,4,18,10
0,1,0,7,19,10
1,0,0,4,20,10
0,0,1,3,21,10
0,1,0,4,22,10
1,0,0,3,23,10
1,0,0,3,24,10
1,1,1,5,25,10
0,0,1,2,26,10
1,1,1,3,27,10
0,0,1,3,28,10
0,0,1,3,29,10
1,1,1,4,30,10
1,1,1,5,1,11
0,1,0,4,2,11
0,1,0,5,3,11
1,0,0,6,4,11
0,1,0,6,5,11
1,0,0,6,6,11
1,1,1,6,7,11
0,1,0,4,8,11
1,0,0,4,9,11
1,1,1,6,10,11
1,1,1,6,11,11
0,0,1,6,12,11
1,0,0,5,13,11
0,1,0,6,14,11
0,1,0,5,15,11
0,1,0,3,16,11
1,0,0,3,17,11
0,0,1,3,18,11
1,0,0,2,19,11
0,1,0,3,20,11
1,1,1,4,21,11
1,1,1,3,22,11
1,0,0,4,23,11
1,1,1,5,24,11
0,0,1,3,25,11
1,1,1,3,26,11
1,0,0,5,27,11
0,1,0,6,28,11
1,0,0,4,29,11
1,1,1,3,30,11
0,0,1,6,1,13
1,0,0,4,2,13
1,0,0,6,3,13
1,1,1,5,4,13
1,0,0,4,5,13
1,0,0,6,6,13
1,0,0,6,7,13
1,1,1,4,8,13
0,1,0,6,9,13
1,0,0,6,10,13
0,1,0,4,11,13
1,1,1,4,12,13
1,1,1,5,13,13
1,0,0,6,14,13
1,0,0,3,15,13
1,1,1,7,16,13
1,0,0,5,17,13
0,1,0,3,18,13
1,1,1,6,19,13
0,1,0,5,20,13
1,0,0,3,21,13
1,0,0,5,22,13
0,0,1,6,23,13
1,0,0,3,24,13
1,0,0,3,25,13
1,1,1,5,26,13
1,1,1,4,27,13
1,0,0,4,28,13
0,1,0,3,29,13
1,1,1,4,30,13